	　『まるごと』文法・文型リスト： 入門（理解）、初級1（理解）、初級2（理解）、初中級、中級1、中級2							Ver.2024/1/31
ＮＯ	見出し	教科書での形	分類	例文	教科書	トピック	課／PＡRT	JFSのトピック
136	～ている	V‐ています	進行	あの人は歌を歌っています。	初級2(りかい)	1　新しい友だち	2　めがねをかけている人です	1　自分と家族
137	文＋人　＜連体修飾節＞	V‐ている＋人	説明	歌を歌っている人	初級2(りかい)	1　新しい友だち	2　めがねをかけている人です	1　自分と家族
138	～そうだ	ナA‐／イA‐そうです	様子・状態	上手そうです。優しそうです。	初級2(りかい)	1　新しい友だち	2　めがねをかけている人です	1　自分と家族
139	～そうな＋N	ナA‐／イA‐そうな＋N（人）	様子・状態	優しそうな人	初級2(りかい)	1　新しい友だち	2　めがねをかけている人です	1　自分と家族
140	～く／～に	ナA‐に／イA‐く＋V	様子・状態	上手に歌います。短く切ります。	初級2(りかい)	1　新しい友だち	2　めがねをかけている人です	1　自分と家族
141	～そうに	ナA‐／イA‐そうに＋V	様子・状態	おいしそうに食べています。	初級2(りかい)	1　新しい友だち	2　めがねをかけている人です	1　自分と家族
142	～ので	S（普通体） ので、～	原因・理由	この店はおいしいので、よく来ます。	初級2(りかい)	2　店で食べる	3　おすすめは何ですか	9　食生活
143	～のは～だ	ナA-な／イA-い／V-る＋のは～です	説明	私が好きなのは、ステーキです。	初級2(りかい)	2　店で食べる	3　おすすめは何ですか	9　食生活
144	～なら～がいい	N1なら、N2がいいです（よ）	条件	野菜なら、このサラダがいいですよ。	初級2(りかい)	2　店で食べる	3　おすすめは何ですか	9　食生活
145	～ずつ	N（数）ずつ	限定	1つずつ　2本ずつ　3人ずつ	初級2(りかい)	2　店で食べる	3　おすすめは何ですか	9　食生活
146	～てはいけない／だめ	V‐てはいけません／だめです	許可・禁止・義務・不必要	食べてはいけません／だめです。	初級2(りかい)	2　店で食べる	4　どうやって食べますか	9　食生活
147	～ちゃいけない／だめ	V‐ちゃいけません／だめです	許可・禁止・義務・不必要	飲んじゃだめです／いけません。	初級2(りかい)	2　店で食べる	4　どうやって食べますか	9　食生活
148	～てから	V‐てから、 ～	時間的前後	飲み物は乾杯してから、飲みましょう。	初級2(りかい)	2　店で食べる	4　どうやって食べますか	9　食生活
149	～て～	V‐て、～	付帯状態・非付帯状態	豆腐ステーキに塩をかけて食べます。	初級2(りかい)	2　店で食べる	4　どうやって食べますか	9　食生活
150	～ないで	V‐ないで、～	付帯状態・非付帯状態	何もつけないで食べます。	初級2(りかい)	2　店で食べる	4　どうやって食べますか	9　食生活
151	～と	V‐ると、～	条件	豆腐ステーキにマヨネーズをつけて食べると、おいしいです。	初級2(りかい)	2　店で食べる	4　どうやって食べますか	9　食生活
152	～たほうがいい	V‐たほうがいいです	勧誘・申し出・助言	帽子を持って行ったほうがいいと思います。	初級2(りかい)	3　沖縄旅行	5　ぼうしを持って行ったほうがいいです	6　旅行と交通
153	～ないほうがいい	V‐ないほうがいいです	勧誘・申し出・助言	9月は行かないほうがいいですよ。	初級2(りかい)	3　沖縄旅行	5　ぼうしを持って行ったほうがいいです	6　旅行と交通
154	～とき	V‐る／V‐ている／V‐たとき、～	時点・場面	沖縄に行くとき、船で行きました。	初級2(りかい)	3　沖縄旅行	5　ぼうしを持って行ったほうがいいです	6　旅行と交通
155	～（られ）る　＜可能＞	NがV‐（られ）ます	可能・難易	お城の中が見られます。	初級2(りかい)	3　沖縄旅行	6　イルカのショーが見られます	6　旅行と交通
156	～し	S（普通体）し	付加	今日のツアーは踊りも見たし、音楽も聞いたし、楽しめました。	初級2(りかい)	3　沖縄旅行	6　イルカのショーが見られます	6　旅行と交通
157	～（られ）る　＜可能＞	NがV‐（られ）ます	可能・難易	パウロさんは日本語が話せます。	初級2(りかい)	4　日本祭	7　雨が降ったら、どうしますか	5　仕事と職業
158	文＋人　＜連体修飾節＞	NがV‐（られ）る人	説明	日本語が話せる人	初級2(りかい)	4　日本祭	7　雨が降ったら、どうしますか	5　仕事と職業
159	～たら	Sた（普通体＋過去形）ら、～	条件	雨が降ったら、ホールで盆踊りをします。	初級2(りかい)	4　日本祭	7　雨が降ったら、どうしますか	5　仕事と職業
160	もう（～た）	もうV‐ました	経過・結末	準備はもう終わりましたか。	初級2(りかい)	4　日本祭	8　コンサートはもう始まりましたか	5　仕事と職業
161	まだ（～ない）	まだV‐ていません	経過・結末	いいえ、まだ終わっていません。	初級2(りかい)	4　日本祭	8　コンサートはもう始まりましたか	5　仕事と職業
162	まだ（～ます／ています）	まだV‐ます／V‐ています	経過・結末	ペンはまだありますか。まだ準備をしていますか。	初級2(りかい)	4　日本祭	8　コンサートはもう始まりましたか	5　仕事と職業
163	もう（～ません／ました）	もうV‐ません／V‐ました	経過・結末	ペンはもうありません。ペンはもう全部お客さんにあげました。	初級2(りかい)	4　日本祭	8　コンサートはもう始まりましたか	5　仕事と職業
164	～か知っていますか	S〔疑問詞＋V（普通体）か〕、知っていますか／分かりますか	その他（間接疑問）	コンサートが何時に始まるか、知っていますか。	初級2(りかい)	4　日本祭	8　コンサートはもう始まりましたか	5　仕事と職業
165	～ていた	V‐ていました	様子・状態	休みはメキシコに帰っていました。	初級2(りかい)	5　特別な日	9　お正月はどうしていましたか	13　言語と文化 (11　人との関係)
166	～（られ）て	V‐（られ）て 　	原因・理由	親に会えて、よかったです。	初級2(りかい)	5　特別な日	9　お正月はどうしていましたか	13　言語と文化 (11　人との関係)
167	～（られ）なくて	V‐（られ）なくて   　	原因・理由	友だちに会えなくて、残念でした。	初級2(りかい)	5　特別な日	9　お正月はどうしていましたか	13　言語と文化 (11　人との関係)
168	～しか（～ない）	Nしか（V‐ません）	限定	今年は休みが3日しかありませんでした。	初級2(りかい)	5　特別な日	9　お正月はどうしていましたか	13　言語と文化 (11　人との関係)
169	～だけ	Nだけ	限定	私の休みは3日間だけでした。	初級2(りかい)	5　特別な日	9　お正月はどうしていましたか	13　言語と文化 (11　人との関係)
